fi,ee,se,de,sp,pl
3.35185,0,65.4869,39.5411942,281.8398343,6.442437854
3.35185,0,65.4869,39.5411943,281.8398344,6.442437855
3.32655,0,65.0305,36.46088663,305.2882592,6.36988265
3.30215,0,64.5503,41.86579448,324.6473386,4.278574637
3.275425,0,64.0544,45.86999453,328.8630409,4.548137539
3.249375,0,65.0867,47.83823266,333.6475169,4.75908164
3.22125,0,65.1254,48.20034249,337.4840589,4.901278233
3.351575,0,65.5932,47.78125471,345.1815825,4.993986372
3.1646,0,62.8691,46.95332519,352.0858213,5.046040379
3.135975,0,61.54,45.83500807,354.6904885,5.076972114
3.389275,0,82.5076,44.52476524,349.2146765,5.085080883
3.5497,0,79.8771,43.09556846,337.9012182,5.386150158
3.6164,0,60.7667,41.66887071,323.4154461,5.071603028
3.2359,0,86.1413,46.45002001,307.6592726,5.239693123
3.77445,0,73.7561,39.19008021,291.917963,12.90582965
4.230975,0,64.9424,38.39613753,277.0635797,5.126768202
5.200625,0,97.9106,37.67316738,263.4584128,5.222024479
9.407425,0,67.7232,36.93195429,251.5760941,5.310158738
3.3096,0,61.1046,36.1450089,248.142554,5.382441136
2.86695,0,62.3694,35.32382676,253.4917285,5.435516719
9.3248,0,90.0043,34.50339434,274.0002924,5.467295899
6.0748,0,66.926,33.72919402,298.7691162,5.487814511
3.921225,0,65.8401,32.99897667,316.9772148,5.493949779
3.044775,0,75.9534,32.40320729,322.1616519,5.498610726
3.010975,0,79.063,31.97062473,319.3562756,5.505320631
8.425425,0,75.2035,31.54603908,312.1218415,5.511676467
2.7194,0,69.7086,31.08471765,302.7205392,5.516975899
2.6859,0,70.948,30.72010878,293.6557201,5.638491356
2.6726,0,71.4176,30.58491112,285.1583722,5.581497792
2.65835,0,71.9189,30.49419623,276.6144735,5.660780315
2.64235,0,72.1396,30.32975988,269.0674168,5.732760883
2.62655,0,72.1447,30.07385894,262.2735998,5.785702965
2.61975,0,71.965,29.72899243,255.2420386,5.81927571
2.59435,0,73.2504,29.57530192,248.9414744,5.83488959
2.57055,0,71.3239,29.20069692,244.7234511,5.838952681
2.5499,0,70.9644,29.21943967,244.9325322,5.83488959
2.530475,0,70.5524,29.16695998,244.0014743,5.834947634
2.552125,0,70.082,29.01926715,241.0896996,5.834135016
2.6983,0,96.0635,28.78310856,237.1187454,5.797845804
2.791,0,80.2444,28.52071013,232.7176813,5.774140568
3.81525,0,74.8015,28.24956509,228.3857167,5.748003281
2.460755,0,69.3714,27.93443707,224.018665,5.718841893
3.18255,0,77.9227,27.55758294,219.6348138,5.685280757
3.63235,0,79.4792,27.11675358,215.4610826,5.64581653
2.615975,0,67.0533,26.61644724,211.1922576,5.603455899
2.50275,0,78.4499,26.07515676,206.7459065,5.557334006
7.13785,0,141.471,25.51387403,202.122995,5.511409464
5.39475,0,77.7271,24.93029992,197.3478388,5.462855521
15.133225,0,101.857,24.32850786,192.5242381,5.414945868
3.037225,0,65.4072,23.73258853,188.5894896,5.367314826
2.263315,0,65.2436,23.13207098,186.9215315,5.31963735
2.2494125,0,65.0718,22.55651877,187.1099406,5.279813249
2.31142,0,64.4559,22.02822326,188.5449427,5.253884921
2.229915,0,69.0333,21.55763042,191.651615,5.240749527
2.2138,0,64.0199,21.16638186,195.5301636,5.236645804
2.623725,0,110.299,20.8668728,200.8230602,5.2399253
2.2508825,0,63.6007,20.65877835,211.9239107,5.250419685
2.1833625,0,63.2076,20.52657952,229.4532117,5.271396845
2.1734825,0,63.0414,20.47674881,246.4086291,5.29810877
2.165195,0,62.79,20.57253673,258.5347567,5.339331735
2.155845,0,62.4704,20.87314537,268.6481042,5.406030284
2.1459675,0,62.0738,21.54368582,275.4874947,5.490147886
2.13905,0,61.639,22.30069279,279.6666278,5.56843205
2.1277875,0,61.1869,22.86959758,280.9662306,5.631822082
2.204155,0,60.7513,23.29213402,279.1054745,5.684996341
2.48789,0,61.2568,23.75795371,275.3532845,5.723752429
2.2224825,0,66.2754,24.33388078,270.0143386,5.749007445
2.14895,0,59.3282,24.71733235,263.2859132,5.775678738
3.1905,0,59.9328,24.84618248,255.4606076,5.848936278
2.805325,0,59.2304,24.75814156,246.6268542,6.017728707
2.3341575,0,59.9518,24.51998374,237.1656161,6.327394322
2.64545,0,63.0621,24.37466499,227.6111975,6.833945741
12.8603,0,70.0407,24.32670856,218.0957311,7.283207571
2.151895,0,64.0552,24.12166293,209.1292426,7.597748896
2.2917225,0,66.2952,23.77627162,200.939875,7.819941956
2.1996875,0,68.7976,23.33199359,193.4996112,7.986238486
3.44575,0,72.3428,22.83333661,186.1951025,8.142667508
2.2050225,0,77.4108,22.29442022,179.0644213,8.27442776
2.25958,0,82.5382,21.73226282,172.1550063,8.413327445
2.3548075,0,86.4196,21.12354844,165.4265584,8.529531861
15.04265,0,89.4466,20.52435538,158.9162057,8.559830915
8.1181,0,93.4713,19.85451466,153.0003179,8.499174763
2.669675,0,99.5839,19.07646583,147.6386126,8.374611987
2.5617,0,106.711,18.25315952,142.842624,8.232577918
13.237075,0,114.481,17.44274822,138.6665588,8.151316088
11.19295,0,125.177,16.68784043,135.212256,8.164782334
3.00005,0,138.164,15.9632709,133.3474108,8.199724921
3.31515,0,149.005,15.30869927,133.6624655,8.148704101
3.464075,0,158.957,14.6950618,135.9673399,8.10395205
3.83305,0,167.103,14.1264569,140.1991736,8.013112934
4.019625,0,171.419,13.60483381,144.179838,7.847803155
4.20165,0,173.491,13.09543099,146.4324939,7.659449842
4.378225,0,175.15,12.6866892,147.331016,7.468774763
4.403825,0,175.355,12.33460049,147.1935058,7.313564669
4.460725,0,174.886,12.02756934,146.0640656,7.193877603
4.484075,0,173.694,11.74872727,143.9822664,7.101355205
4.497175,0,171.558,11.48907778,140.9973391,6.989736278
4.4961,0,168.685,11.22945328,137.3503977,6.853738801
5.215475,0,165.827,10.98284873,133.4601524,6.700502208
15.366025,0,163.999,10.75821068,129.8551066,6.537223975
7.624875,0,158.867,10.54844188,126.8742279,6.519056151
4.5062,0,156.155,10.37246,124.3783434,6.825529338
4.601275,0,153.92,10.18115905,122.1816891,7.114995584
4.811325,0,152.722,9.965067697,120.0911404,7.34368959
5.165925,0,152.905,9.683351744,118.2239745,7.377877603
5.701125,0,155.563,9.36100152,116.8650206,7.273398107
6.577175,0,163.403,9.006188862,115.8955024,7.089340063
7.73325,0,175.463,8.644553844,114.7484315,6.866914826
9.100575,0,193.504,8.316705749,113.822295,6.646811356
10.930675,0,222.559,8.025093627,114.0980293,6.40250347
13.3627,0,263.044,7.750100072,115.6768622,6.128535016
15.958875,0,307.625,7.48377816,117.0350206,5.842609464
18.000825,0,342.311,7.229451606,117.7035186,5.571972744
19.0816,0,359.277,6.983046985,118.1397753,5.352234953
19.43075,0,362.734,6.745913775,118.1276294,5.171317098
19.3668,0,359.679,6.512404162,118.647645,5.005304984
19.0865,0,354.202,6.301810679,119.1953575,4.850356088
18.680675,0,347.418,6.107835764,118.9348242,4.722252618
18.2666,0,341.082,5.924231834,118.4651615,4.607876593
17.8973,0,336.198,5.747750146,118.1188693,4.481642145
17.61625,0,331.588,5.587737085,117.9457378,4.344872681
17.55065,0,327.559,5.446191874,117.1291395,4.209194448
17.65,0,322.931,5.3272879,115.6456209,4.083639117
17.699225,0,318.326,5.213232049,113.6665029,3.968769716
17.700175,0,315.551,5.080108579,111.325855,3.855368833
17.77325,0,330.238,4.940362672,109.1719528,3.731903091
18.1287,0,361.358,4.793869377,108.0224563,3.593804416
18.63585,0,382.74,4.651174612,108.4407964,3.463048328
19.00005,0,398.596,4.529746614,108.9172089,3.336517855
19.321425,0,415.791,4.420963722,108.5741904,3.226315205
19.8594,0,435.26,4.32972404,107.6358692,3.13098347
20.694175,0,462.767,4.27239623,106.1557819,3.051085678
21.6034,0,512.084,4.226613952,104.5140627,2.982372997
22.741,0,567.479,4.194426411,102.6334464,2.917885931
24.0885,0,610.899,4.17445914,100.5644913,2.881521262
25.034,0,630.696,4.146569935,98.46682326,2.864444669
25.51925,0,645.417,4.122079415,96.51174782,2.858355836
25.9345,0,670.022,4.104961041,94.78147905,2.841877098
26.774,0,713.82,4.082994544,93.08768795,2.818850978
27.84875,0,759.595,4.069299845,91.15416685,2.791692114
28.10125,0,773.287,4.098638489,89.13677242,2.782892618
27.6275,0,762.467,4.147644519,87.03989516,2.842358864
26.505,0,732.677,4.195500995,84.65259111,2.927521262
25.04075,0,708.223,4.225064551,82.26084278,2.971199495
23.502625,0,693.608,4.243732325,80.03323782,2.967815521
21.961975,0,684.328,4.260250931,78.01231828,2.945149274
20.682025,0,663.609,4.294262766,76.05395309,2.90635836
19.6471,0,632.008,4.334722105,74.09572176,2.868618044
18.7923,0,591.714,4.371232972,72.01626677,2.827836215
18.073925,0,551.388,4.387676607,69.96091488,2.781987129
17.503175,0,517.881,4.38255359,68.02841092,2.720547382
17.052825,0,494.645,4.365185313,66.14523343,2.65542183
16.613925,0,469.758,4.329249223,64.42850388,2.594266498
16.115,0,440.367,4.291738743,62.76594139,2.530992555
15.605325,0,410.695,4.244781919,61.32723725,2.464520379
15.143025,0,381.887,4.180231905,60.05783952,2.389451861
14.66145,0,355.258,4.12705249,58.88766199,2.321540189
14.14445,0,332.569,4.069499768,57.60456543,2.25444694
13.60545,0,313.064,4.028015826,56.40795294,2.183621451
13.09175,0,295.78,3.972662252,55.16815712,2.115019054
12.65245,0,280.654,3.914684694,53.93971739,2.044872681
12.317725,0,266.761,3.86235495,52.67414856,1.988900694
11.98685,0,252.931,3.802952943,51.43251768,1.933932871
11.654,0,240.225,3.74227643,50.08952397,1.885198991
11.33635,0,228.869,3.680750246,48.72215111,1.834717981
11.031,0,218.96,3.624696943,47.43480225,1.792241262
10.74795,0,210.185,3.56856867,46.25375043,1.752463596
10.483275,0,202.304,3.512565347,45.07134437,1.715588139
10.228225,0,194.836,3.467907634,44.00569181,1.682299811
9.959475,0,187.402,3.426498662,42.9104349,1.655535647
9.697325,0,181.076,3.390012785,41.82377624,1.632190284
9.4278,0,177.163,3.352052479,40.6547832,1.613761262
9.1745,0,174.388,3.318115615,39.46736367,1.598965804
8.9113,0,171.409,3.273257979,38.33695428,1.580426498
8.651375,0,168.238,3.227125836,37.27288371,1.557249464
8.386325,0,165.91,3.181693422,36.27985634,1.5323253
8.12325,0,163.055,3.13413683,35.34478557,1.510164038
7.854525,0,159.467,3.089129252,34.42846153,1.489581577
7.617775,0,155.132,3.038823725,33.60486708,1.466027256
7.40505,0,150.804,3.001938002,32.76961395,1.44261224
7.198025,0,146.611,2.941536383,32.05593242,1.412005552
6.982875,0,142.302,2.899102808,31.4074616,1.380069653
6.75495,0,138.066,2.859168266,30.72530478,1.353914953
6.53235,0,134.952,2.829529739,30.08616228,1.330308391
6.32065,0,134.29,2.807338328,29.42356442,1.316186246
6.128675,0,134.014,2.787421038,28.7587405,1.301622965
5.96,0,132.931,2.766479144,28.18357547,1.289636845
5.812725,0,131.371,2.753434194,27.55301175,1.28138877
5.695925,0,129.701,2.73479141,26.91928347,1.273773375
5.6036,0,127.805,2.716148626,26.33964729,1.266059306
5.554625,0,126.216,2.690533542,25.71851185,1.26174082
5.5505,0,124.461,2.664068786,25.13986808,1.258827003
5.563975,0,122.552,2.630881632,24.52198177,1.252691735
5.575,0,120.862,2.595345387,23.92467897,1.249975268
5.5762,0,119.371,2.551437383,23.37066529,1.247659306
5.556775,0,117.346,2.505530153,22.88797106,1.245999243
5.52555,0,114.797,2.450136595,22.51787024,1.237193943
5.484625,0,111.972,2.395647687,22.1441093,1.227303218
5.4289,0,108.944,2.352152023,21.73569205,1.215961388
5.375225,0,105.9,2.302853606,21.33281589,1.205861703
5.3184,0,103.076,2.251136125,20.95633074,1.193271924
5.255625,0,100.545,2.19935117,20.56108913,1.18183142
5.18695,0,98.3684,2.150180203,20.18549624,1.167511924
5.118625,0,96.7469,2.102843526,19.82897704,1.154219811
5.05535,0,96.2919,2.055889201,19.43444089,1.140440126
4.9932,0,96.4933,2.018476183,19.11148385,1.126747508
4.936775,0,97.0269,1.993101005,18.78618297,1.114297035
4.8773,0,97.0912,1.963347523,18.46398182,1.101753691
4.8186,0,96.547,1.943860066,18.13986677,1.092930978
4.7668,0,97.7124,1.921918559,17.81599795,1.086656404
4.722525,0,99.0455,1.895468797,17.579015,1.104162524
4.68145,0,98.7496,1.8809944,17.23474562,1.1440853
4.639925,0,99.0886,1.86619013,16.939773,1.207010978
4.594475,0,100.782,1.843176539,16.60572026,1.267336278
4.55235,0,102.999,1.821397469,16.31758453,1.312715205
4.5222,0,103.751,1.790049603,15.99581318,1.338591293
4.503725,0,103.753,1.759606387,15.69378417,1.351941451
4.493225,0,104.327,1.727031496,15.38458579,1.35180795
4.491375,0,104.838,1.691117898,15.06871598,1.344471167
4.50695,0,104.668,1.654527062,14.76002273,1.326756088
4.519075,0,104.634,1.621612302,14.46651145,1.307137161
4.53905,0,104.452,1.585026464,14.1671037,1.287831672
4.56175,0,103.087,1.551499442,13.91433617,1.265206057
4.582675,0,101.292,1.518767112,13.61207306,1.240061325
4.59735,0,100.396,1.484657815,13.38365857,1.214736656
4.6056,0,100.863,1.453274963,13.13337342,1.188018927
4.6203,0,103.637,1.429006856,12.90939774,1.161968707
4.640475,0,107.741,1.399640724,12.71176637,1.136516341
4.670275,0,111.267,1.375622521,12.58003436,1.110553186
4.7016,0,113.255,1.350712163,12.39760143,1.086569338
4.721625,0,114.269,1.323375245,12.23023102,1.063833438
4.734775,0,115.047,1.303892786,12.0908119,1.042467382
4.755575,0,116.696,1.281211565,11.94776142,1.023150284
4.80595,0,118.837,1.259182592,11.81059086,1.002770978
4.873425,0,120.607,1.236781264,11.70526566,0.983970473
4.9497,0,122.545,1.214872244,11.56953794,0.963300946
5.034875,0,124.06,1.193033198,11.45625959,0.945301451
5.116175,0,125.371,1.172453664,11.32244035,0.928532492
5.182125,0,127.154,1.147898169,11.19600671,0.911403659
5.238925,0,129.031,1.130642348,11.13561675,0.892754069
5.304625,0,130.309,1.110697568,11.03305872,0.87405224
5.375575,0,130.915,1.091150135,10.95567281,0.857660568
5.441175,0,130.905,1.082008673,10.86458197,0.842632934
5.50725,0,130.517,1.072037533,10.79133137,0.831494259
5.590775,0,129.745,1.067849154,10.77124101,0.820616782
5.66255,0,128.878,1.061104265,10.752969,0.813761767
5.71615,0,128.684,1.057455677,10.79625477,0.807336278
5.7593,0,129.086,1.051228088,10.87419052,0.802472177
5.78165,0,129.351,1.04468812,10.92774267,0.798583218
5.78165,0,129.175,1.038240615,11.00517609,0.792639495
5.767825,0,128.404,1.031518217,11.10134693,0.786660946
5.748525,0,127.359,1.029281583,11.17515098,0.780781073
5.714975,0,126.14,1.02833445,11.26777894,0.774152429
5.670475,0,124.661,1.032162968,11.34678753,0.768986498
5.62655,0,122.965,1.041092011,11.39798579,0.764755079
5.585175,0,121.153,1.070885479,11.41964842,0.76529489
5.536075,0,119.292,1.09824239,11.44887045,0.767784984
5.485425,0,118.013,1.122562976,11.4198071,0.770739432
5.433725,0,118.137,1.145129241,11.37317118,0.771250221
5.380175,0,118.873,1.166233571,11.33021119,0.769015521
5.33075,0,119.775,1.179063605,11.2244804,0.766821451
5.2877,0,122.083,1.185416146,11.13537898,0.765033691
5.256675,0,124.386,1.192260997,11.03907562,0.757505363
5.2356,0,127.485,1.192703325,10.93876422,0.750981199
5.222025,0,130.277,1.188035132,10.84937952,0.741659306
5.213175,0,132.193,1.185885964,10.79428357,0.731960126
5.2627,0,135.247,1.182139914,10.71883434,0.720966562
5.353075,0,138.48,1.180413083,10.60958849,0.711836215
5.44335,0,140.925,1.179998243,10.5460334,0.702363407
5.532775,0,142.732,1.177044387,10.49719814,0.693801893
5.6435,0,144.831,1.173860619,10.42995461,0.684717981
5.768475,0,146.265,1.173850623,10.3802445,0.676127445
5.89365,0,146.734,1.170361973,10.35329315,0.668848707
6.011225,0,146.437,1.169792194,10.36486084,0.662417413
6.117925,0,145.544,1.169269896,10.40562148,0.656920631
6.2079,0,144.387,1.166740875,10.54681089,0.654366688
6.283825,0,143.45,1.1669358,10.80831456,0.651185868
6.3449,0,143.019,1.169232411,11.1081123,0.64877123
6.4097,0,143.527,1.243613619,11.32243487,0.647720631
6.5035,0,144.342,1.358709067,11.57791318,0.649740568
6.75685,0,144.652,1.498075121,11.71867832,0.651737287
7.307,0,144.393,1.694204203,11.88954506,0.655359243
7.8762,0,143.785,1.928456028,12.018663,0.661831167
8.319975,0,142.878,2.136782889,12.09352673,0.668082524
8.641375,0,141.811,2.290610845,12.20704133,0.6748853
8.9339,0,140.54,2.402262626,12.32557673,0.681229527
9.157525,0,139.093,2.48045236,12.45136839,0.688189022
9.279525,0,137.446,2.53209487,12.62896231,0.695653502
9.32295,0,135.836,2.564282411,12.86750945,0.702868391
9.320775,0,135.309,2.587023608,13.1677581,0.70924164
9.30365,0,135.786,2.593446122,13.61224525,0.714622334
9.266075,0,135.629,2.59482059,14.10940556,0.720194574
9.209175,0,134.692,2.595920165,14.69565726,0.725285047
9.128925,0,133.31,2.598269255,15.38345008,0.72894183
9.033925,0,131.714,2.614388016,16.06561204,0.736621073
8.9244,0,129.859,2.638203797,16.71842396,0.745368328
8.80825,0,128.033,2.660445188,17.3519218,0.755926562
8.68035,0,126.055,2.681112188,17.95843245,0.764459054
8.553925,0,124.06,2.697580814,18.59007858,0.77389123
8.706425,0,124.321,2.715024062,19.4125177,0.782516593
9.217525,0,121.271,2.724920231,20.4653667,0.790329338
8.1996,0,120.961,2.731267774,21.67488588,0.79702183
8.1121,0,120.835,2.733766807,23.00370607,0.803522776
8.03575,0,120.253,2.737490365,25.44162888,0.810801514
7.962575,0,119.408,2.743038218,30.29602212,0.820489085
7.892075,0,118.59,2.755133536,35.05588469,0.832063091
7.830425,0,118.058,2.772351871,38.80714541,0.859825615
7.792775,0,117.861,2.787271096,41.62948044,0.893816278
7.787475,0,118.028,2.798616704,43.75985515,0.926088833
7.8018,0,118.349,2.807088425,45.38761141,0.953810726
7.827225,0,119.17,2.810562081,46.57286348,0.978003533
7.8978,0,120.669,2.810587071,47.45240909,1.001250221
7.9612,0,121.534,2.80898769,48.17752863,1.022117098
7.99225,0,121.906,2.798916588,49.27041569,1.041643155
7.9945,0,121.366,2.78987009,50.89131033,1.05621224
7.9854,0,120.714,2.780048892,52.49156329,1.070224101
7.946,0,119.913,2.766804019,53.89109768,1.079139685
7.915125,0,118.983,2.76078135,55.02816248,1.087974006
7.875875,0,118.09,2.757132762,56.91826618,1.095560379
7.83015,0,116.763,2.753584136,62.88933189,1.100842397
7.77735,0,115.582,2.750685258,69.57791377,1.105259558
7.728775,0,114.928,2.758307308,74.46102335,1.110651861
7.684475,0,113.578,2.768928196,77.53242514,1.116839369
7.6389,0,111.822,2.782547924,79.29619997,1.125592429
7.586775,0,110.555,2.793443707,80.25201251,1.137445047
7.53155,0,109.739,2.800416008,81.96112303,1.149413754
7.46315,0,108.226,2.804189547,87.64649363,1.160877476
7.4259,0,107.312,2.806838522,94.42530771,1.170803028
7.318625,0,106.432,2.807613222,100.1096058,1.178969842
7.250525,0,105.493,2.807088425,103.8980321,1.187513943
7.58745,0,106.902,2.804789315,108.6881564,1.194165804
8.7354,0,116.998,2.804539412,113.9168899,1.200045678
8.377975,0,103.344,2.830879216,118.1430865,1.207214132
7.066625,0,107.236,2.894254685,124.5968449,1.214086562
7.087825,0,105.552,2.961278741,141.6311005,1.221202776
7.131325,0,102.243,3.025104035,156.5096472,1.228504732
7.200675,0,104.319,3.078308441,164.9663859,1.2342453
7.26845,0,123.939,3.123515942,171.8766428,1.239457666
7.33965,0,103.19,3.159477022,176.9633832,1.244310158
7.408475,0,103.768,3.192364292,179.8229103,1.247984353
7.491175,0,104.252,3.216829821,182.8531143,1.255257287
7.473725,0,104.785,3.24119539,185.99231,1.266337918
7.477625,0,105.502,3.259613261,188.2894091,1.273198738
7.578475,0,105.955,3.271683589,192.1854631,1.280901199
7.588625,0,107.394,3.283703936,195.2953632,1.287663344
7.41755,0,107.167,3.287477475,195.8222518,1.296619558
7.392325,0,107.785,3.297948422,194.5249745,1.302313691
7.360675,0,108.201,3.314716931,191.9657758,1.311380189
7.32205,0,108.349,3.376792903,188.6062768,1.333059685
7.277075,0,108.345,3.46610833,184.7156246,1.365158107
7.29015,0,116.558,3.553399541,180.3957897,1.398121388
7.8419,0,136.322,3.64358963,176.1152164,1.42839142
9.217275,0,122.852,3.717411055,172.7082141,1.459276719
7.062875,0,111.381,3.787583893,169.8340257,1.488960505
7.0082,0,112.595,3.851734061,166.9910067,1.518383091
6.9637,0,113.309,3.930803455,164.000135,1.550017161
6.912425,0,113.563,4.0267913,160.7929692,1.582875962
8.2439,0,123.609,4.119055586,157.3988069,1.61283836
8.89575,0,122.025,4.20127376,153.8558039,1.639614132
6.808175,0,112.908,4.270272052,150.2914151,1.664520883
7.547525,0,167.559,4.337620983,146.7563032,1.679235079
8.495825,0,113.856,4.406869178,143.7135757,1.696706372
6.87215,0,114.812,4.497059267,141.5479551,1.713266372
7.026475,0,115.993,4.588273959,140.2026584,1.728769968
7.1109,0,115.337,4.669867376,140.2984046,1.74401817
